log_id,teacher_id,division,region,training_name,year,modality
LOG000001,TCH00001,Ilocos Norte,Region I,STAR Regional Science Camp,2019,Blended
LOG000002,TCH00002,Ilocos Norte,Region I,STAR Biology Specialization Course,2019,Blended
LOG000003,TCH00003,Ilocos Norte,Region I,STAR Basic Science Training,2022,Blended
LOG000004,TCH00004,Ilocos Norte,Region I,STAR Basic Science Training,2024,Blended
LOG000005,TCH00005,Ilocos Norte,Region I,STAR Regional Coaching Program,2021,Face-to-face
LOG000006,TCH00005,Ilocos Norte,Region I,STAR Biology Specialization Course,2020,Blended
LOG000007,TCH00005,Ilocos Norte,Region I,STAR Leadership for Science Teachers,2020,Blended
LOG000008,TCH00005,Ilocos Norte,Region I,STAR Regional Coaching Program,2022,Face-to-face
LOG000009,TCH00006,Ilocos Norte,Region I,STAR Chemistry Lab Techniques,2019,Face-to-face
LOG000010,TCH00006,Ilocos Norte,Region I,STAR Chemistry Lab Techniques,2021,Face-to-face
LOG000011,TCH00006,Ilocos Norte,Region I,STAR STEM Integration Workshop,2020,Face-to-face
LOG000012,TCH00007,Ilocos Norte,Region I,STAR Regional Coaching Program,2020,Face-to-face
LOG000013,TCH00008,Ilocos Norte,Region I,STAR Physics Upskilling Workshop,2022,Face-to-face
LOG000014,TCH00008,Ilocos Norte,Region I,STAR Physics Upskilling Workshop,2020,Online
LOG000015,TCH00009,Ilocos Norte,Region I,STAR STEM Integration Workshop,2023,Face-to-face
LOG000016,TCH00010,Ilocos Norte,Region I,STAR Regional Coaching Program,2024,Face-to-face
LOG000017,TCH00011,Ilocos Norte,Region I,STAR Regional Science Camp,2023,Face-to-face
LOG000018,TCH00012,Ilocos Norte,Region I,STAR Math Enhancement Program,2024,Blended
LOG000019,TCH00013,Ilocos Norte,Region I,STAR Math Enhancement Program,2022,Online
LOG000020,TCH00013,Ilocos Norte,Region I,STAR Math Enhancement Program,2019,Blended
LOG000021,TCH00013,Ilocos Norte,Region I,STAR Biology Specialization Course,2019,Face-to-face
LOG000022,TCH00013,Ilocos Norte,Region I,STAR Basic Science Training,2024,Face-to-face
LOG000023,TCH00014,Ilocos Norte,Region I,STAR Biology Specialization Course,2023,Face-to-face
LOG000024,TCH00015,Ilocos Norte,Region I,STAR Biology Specialization Course,2022,Face-to-face
LOG000025,TCH00015,Ilocos Norte,Region I,STAR Physics Upskilling Workshop,2024,Blended
LOG000026,TCH00015,Ilocos Norte,Region I,STAR Math Enhancement Program,2022,Online
LOG000027,TCH00015,Ilocos Norte,Region I,STAR Physics Upskilling Workshop,2021,Blended
LOG000028,TCH00016,Ilocos Norte,Region I,STAR Chemistry Lab Techniques,2023,Face-to-face
LOG000029,TCH00017,Ilocos Norte,Region I,STAR Regional Coaching Program,2024,Face-to-face
LOG000030,TCH00019,Ilocos Norte,Region I,STAR Basic Science Training,2022,Online
LOG000031,TCH00019,Ilocos Norte,Region I,STAR Biology Specialization Course,2023,Face-to-face
LOG000032,TCH00021,Ilocos Norte,Region I,STAR Biology Specialization Course,2019,Online
LOG000033,TCH00022,Ilocos Norte,Region I,STAR Biology Specialization Course,2021,Blended
LOG000034,TCH00022,Ilocos Norte,Region I,STAR Math Enhancement Program,2019,Face-to-face
LOG000035,TCH00022,Ilocos Norte,Region I,STAR Advanced Science Seminar,2019,Online
LOG000036,TCH00022,Ilocos Norte,Region I,STAR Regional Coaching Program,2020,Face-to-face
LOG000037,TCH00023,Ilocos Norte,Region I,STAR Advanced Science Seminar,2020,Blended
LOG000038,TCH00024,Ilocos Norte,Region I,STAR Regional Science Camp,2021,Online
LOG000039,TCH00024,Ilocos Norte,Region I,STAR Leadership for Science Teachers,2021,Online
LOG000040,TCH00025,Ilocos Norte,Region I,STAR Regional Coaching Program,2019,Face-to-face
LOG000041,TCH00026,Ilocos Norte,Region I,STAR Physics Upskilling Workshop,2020,Blended
LOG000042,TCH00027,Ilocos Norte,Region I,STAR Regional Science Camp,2020,Face-to-face
LOG000043,TCH00027,Ilocos Norte,Region I,STAR Regional Science Camp,2020,Face-to-face
LOG000044,TCH00027,Ilocos Norte,Region I,STAR Math Enhancement Program,2019,Blended
LOG000045,TCH00028,Ilocos Norte,Region I,STAR Physics Upskilling Workshop,2024,Face-to-face
LOG000046,TCH00028,Ilocos Norte,Region I,STAR Advanced Science Seminar,2019,Online
LOG000047,TCH00029,Ilocos Norte,Region I,STAR Regional Science Camp,2024,Blended
LOG000048,TCH00030,Ilocos Norte,Region I,STAR Physics Upskilling Workshop,2021,Online
LOG000049,TCH00030,Ilocos Norte,Region I,STAR Basic Science Training,2024,Face-to-face
LOG000050,TCH00031,Ilocos Norte,Region I,STAR Regional Coaching Program,2022,Online
LOG000051,TCH00032,Ilocos Norte,Region I,STAR STEM Integration Workshop,2023,Face-to-face
LOG000052,TCH00032,Ilocos Norte,Region I,STAR Regional Coaching Program,2020,Face-to-face
LOG000053,TCH00032,Ilocos Norte,Region I,STAR Regional Science Camp,2020,Blended
LOG000054,TCH00032,Ilocos Norte,Region I,STAR Regional Science Camp,2021,Face-to-face
LOG000055,TCH00032,Ilocos Norte,Region I,STAR Regional Coaching Program,2020,Face-to-face
LOG000056,TCH00033,Ilocos Norte,Region I,STAR STEM Integration Workshop,2019,Face-to-face
LOG000057,TCH00034,Ilocos Norte,Region I,STAR STEM Integration Workshop,2023,Blended
LOG000058,TCH00035,Ilocos Norte,Region I,STAR Advanced Science Seminar,2020,Face-to-face
LOG000059,TCH00036,Ilocos Norte,Region I,STAR Leadership for Science Teachers,2021,Face-to-face
LOG000060,TCH00036,Ilocos Norte,Region I,STAR Basic Science Training,2023,Face-to-face
LOG000061,TCH00037,Ilocos Norte,Region I,STAR Regional Coaching Program,2021,Face-to-face
LOG000062,TCH00037,Ilocos Norte,Region I,STAR Regional Coaching Program,2023,Online
LOG000063,TCH00038,Ilocos Norte,Region I,STAR Advanced Science Seminar,2019,Face-to-face
LOG000064,TCH00038,Ilocos Norte,Region I,STAR Biology Specialization Course,2022,Face-to-face
LOG000065,TCH00038,Ilocos Norte,Region I,STAR Chemistry Lab Techniques,2022,Face-to-face
LOG000066,TCH00038,Ilocos Norte,Region I,STAR Leadership for Science Teachers,2021,Face-to-face
LOG000067,TCH00038,Ilocos Norte,Region I,STAR Biology Specialization Course,2019,Face-to-face
LOG000068,TCH00038,Ilocos Norte,Region I,STAR Advanced Science Seminar,2021,Online
LOG000069,TCH00039,Ilocos Norte,Region I,STAR Physics Upskilling Workshop,2022,Online
LOG000070,TCH00039,Ilocos Norte,Region I,STAR Regional Coaching Program,2019,Face-to-face
LOG000071,TCH00039,Ilocos Norte,Region I,STAR Chemistry Lab Techniques,2022,Face-to-face
LOG000072,TCH00040,Ilocos Norte,Region I,STAR Advanced Science Seminar,2020,Face-to-face
LOG000073,TCH00042,Ilocos Norte,Region I,STAR Biology Specialization Course,2020,Face-to-face
LOG000074,TCH00043,Ilocos Norte,Region I,STAR Leadership for Science Teachers,2022,Face-to-face
LOG000075,TCH00043,Ilocos Norte,Region I,STAR STEM Integration Workshop,2020,Online
LOG000076,TCH00044,Ilocos Norte,Region I,STAR Leadership for Science Teachers,2022,Face-to-face
LOG000077,TCH00044,Ilocos Norte,Region I,STAR Basic Science Training,2020,Blended
LOG000078,TCH00044,Ilocos Norte,Region I,STAR Advanced Science Seminar,2022,Face-to-face
LOG000079,TCH00045,Ilocos Norte,Region I,STAR Basic Science Training,2020,Face-to-face
LOG000080,TCH00045,Ilocos Norte,Region I,STAR Math Enhancement Program,2023,Online
LOG000081,TCH00046,Ilocos Norte,Region I,STAR Leadership for Science Teachers,2023,Face-to-face
LOG000082,TCH00046,Ilocos Norte,Region I,STAR Leadership for Science Teachers,2020,Face-to-face
LOG000083,TCH00047,Ilocos Norte,Region I,STAR Advanced Science Seminar,2020,Face-to-face
LOG000084,TCH00048,Ilocos Norte,Region I,STAR Regional Science Camp,2024,Blended
LOG000085,TCH00049,Ilocos Norte,Region I,STAR Basic Science Training,2021,Face-to-face
LOG000086,TCH00050,Ilocos Norte,Region I,STAR Regional Science Camp,2021,Online
LOG000087,TCH00051,Ilocos Norte,Region I,STAR Advanced Science Seminar,2020,Online
LOG000088,TCH00051,Ilocos Norte,Region I,STAR Leadership for Science Teachers,2019,Face-to-face
LOG000089,TCH00051,Ilocos Norte,Region I,STAR STEM Integration Workshop,2019,Blended
LOG000090,TCH00051,Ilocos Norte,Region I,STAR Regional Coaching Program,2022,Face-to-face
LOG000091,TCH00053,Ilocos Norte,Region I,STAR Leadership for Science Teachers,2020,Face-to-face
LOG000092,TCH00054,Ilocos Norte,Region I,STAR Physics Upskilling Workshop,2020,Online
LOG000093,TCH00054,Ilocos Norte,Region I,STAR Math Enhancement Program,2021,Face-to-face
LOG000094,TCH00055,Ilocos Norte,Region I,STAR STEM Integration Workshop,2019,Online
LOG000095,TCH00056,Ilocos Norte,Region I,STAR Leadership for Science Teachers,2024,Online
LOG000096,TCH00056,Ilocos Norte,Region I,STAR Physics Upskilling Workshop,2024,Online
LOG000097,TCH00057,Ilocos Norte,Region I,STAR Advanced Science Seminar,2023,Online
LOG000098,TCH00057,Ilocos Norte,Region I,STAR Basic Science Training,2024,Face-to-face
LOG000099,TCH00059,Ilocos Norte,Region I,STAR Chemistry Lab Techniques,2023,Face-to-face
LOG000100,TCH00059,Ilocos Norte,Region I,STAR Chemistry Lab Techniques,2022,Online
LOG000101,TCH00059,Ilocos Norte,Region I,STAR Regional Science Camp,2023,Blended
LOG000102,TCH00060,Ilocos Sur,Region I,STAR Math Enhancement Program,2020,Online
LOG000103,TCH00060,Ilocos Sur,Region I,STAR Biology Specialization Course,2023,Face-to-face
LOG000104,TCH00060,Ilocos Sur,Region I,STAR Regional Coaching Program,2021,Blended
LOG000105,TCH00062,Ilocos Sur,Region I,STAR Physics Upskilling Workshop,2020,Face-to-face
LOG000106,TCH00062,Ilocos Sur,Region I,STAR Leadership for Science Teachers,2023,Blended
LOG000107,TCH00064,Ilocos Sur,Region I,STAR Basic Science Training,2021,Blended
LOG000108,TCH00064,Ilocos Sur,Region I,STAR STEM Integration Workshop,2021,Online
LOG000109,TCH00064,Ilocos Sur,Region I,STAR STEM Integration Workshop,2021,Online
LOG000110,TCH00064,Ilocos Sur,Region I,STAR STEM Integration Workshop,2024,Face-to-face
LOG000111,TCH00064,Ilocos Sur,Region I,STAR Biology Specialization Course,2021,Online
LOG000112,TCH00065,Ilocos Sur,Region I,STAR Math Enhancement Program,2022,Face-to-face
LOG000113,TCH00065,Ilocos Sur,Region I,STAR Basic Science Training,2020,Online
LOG000114,TCH00065,Ilocos Sur,Region I,STAR Biology Specialization Course,2021,Face-to-face
LOG000115,TCH00065,Ilocos Sur,Region I,STAR Regional Coaching Program,2024,Online
LOG000116,TCH00066,Ilocos Sur,Region I,STAR Leadership for Science Teachers,2021,Blended
LOG000117,TCH00066,Ilocos Sur,Region I,STAR Physics Upskilling Workshop,2024,Online
LOG000118,TCH00068,Ilocos Sur,Region I,STAR Regional Coaching Program,2019,Face-to-face
LOG000119,TCH00068,Ilocos Sur,Region I,STAR Math Enhancement Program,2023,Face-to-face
LOG000120,TCH00070,Ilocos Sur,Region I,STAR Basic Science Training,2021,Online
LOG000121,TCH00071,Ilocos Sur,Region I,STAR Math Enhancement Program,2023,Face-to-face
LOG000122,TCH00072,Ilocos Sur,Region I,STAR Biology Specialization Course,2024,Face-to-face
LOG000123,TCH00074,Ilocos Sur,Region I,STAR Chemistry Lab Techniques,2021,Face-to-face
LOG000124,TCH00075,Ilocos Sur,Region I,STAR Regional Science Camp,2022,Online
LOG000125,TCH00075,Ilocos Sur,Region I,STAR Math Enhancement Program,2021,Online
LOG000126,TCH00075,Ilocos Sur,Region I,STAR Math Enhancement Program,2019,Online
LOG000127,TCH00076,Ilocos Sur,Region I,STAR Leadership for Science Teachers,2020,Face-to-face
LOG000128,TCH00078,Ilocos Sur,Region I,STAR Regional Coaching Program,2023,Face-to-face
LOG000129,TCH00079,Ilocos Sur,Region I,STAR Basic Science Training,2019,Online
LOG000130,TCH00079,Ilocos Sur,Region I,STAR Biology Specialization Course,2024,Face-to-face
LOG000131,TCH00081,Ilocos Sur,Region I,STAR Chemistry Lab Techniques,2024,Face-to-face
LOG000132,TCH00083,Ilocos Sur,Region I,STAR Biology Specialization Course,2022,Face-to-face
LOG000133,TCH00083,Ilocos Sur,Region I,STAR Basic Science Training,2021,Blended
LOG000134,TCH00083,Ilocos Sur,Region I,STAR Biology Specialization Course,2021,Face-to-face
LOG000135,TCH00083,Ilocos Sur,Region I,STAR Chemistry Lab Techniques,2019,Blended
LOG000136,TCH00085,Ilocos Sur,Region I,STAR Basic Science Training,2024,Face-to-face
LOG000137,TCH00085,Ilocos Sur,Region I,STAR Regional Coaching Program,2020,Face-to-face
LOG000138,TCH00086,Ilocos Sur,Region I,STAR Advanced Science Seminar,2024,Online
LOG000139,TCH00086,Ilocos Sur,Region I,STAR Physics Upskilling Workshop,2020,Online
LOG000140,TCH00087,Ilocos Sur,Region I,STAR Regional Coaching Program,2023,Face-to-face
LOG000141,TCH00088,Ilocos Sur,Region I,STAR Leadership for Science Teachers,2020,Blended
LOG000142,TCH00090,Ilocos Sur,Region I,STAR Advanced Science Seminar,2019,Blended
LOG000143,TCH00090,Ilocos Sur,Region I,STAR Biology Specialization Course,2020,Blended
LOG000144,TCH00091,Ilocos Sur,Region I,STAR Basic Science Training,2024,Face-to-face
